range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.520636875023e-09,1.309355945021e-09,7045.1227630000,31.2283810417
47,73,2.479567252405e-09,1.323968063804e-09,6895.2265340000,31.2283810417
49,73,2.252288638236e-09,1.320958051003e-09,7195.0189920000,31.2283810417
46,73,2.106672965790e-09,1.354719513604e-09,6745.3303050000,31.2283810417
50,73,1.836812028280e-09,1.330361974567e-09,7344.9152210000,31.2283810417
45,73,1.623838412218e-09,1.361107816446e-09,6595.4340760000,31.2283810417
8,29,1.454753801604e-09,1.450907310411e-09,1049.2736030000,-140.5277146875
51,73,1.369213856529e-09,1.300223687866e-09,7494.8114500000,31.2283810417
48,72,1.348932280972e-09,1.300862013921e-09,7045.1227630000,27.3248334115
47,72,1.347183877977e-09,1.316041654687e-09,6895.2265340000,27.3248334115
95,24,7.852115825761e-10,7.529852279601e-10,14090.2455260000,-160.0454528385
