range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.377480490636e-09,1.189939430791e-09,7045.1227630000,31.2283810417
47,73,2.314429278034e-09,1.198136052978e-09,6895.2265340000,31.2283810417
54,22,2.239690837860e-09,2.200807146085e-09,7944.5001370000,-167.8525480990
49,73,2.076033123503e-09,1.227166068101e-09,7195.0189920000,31.2283810417
46,73,1.887964405787e-09,1.242836150167e-09,6745.3303050000,31.2283810417
50,73,1.678619859032e-09,1.269416838664e-09,7344.9152210000,31.2283810417
45,73,1.405351541911e-09,1.278356851735e-09,6595.4340760000,31.2283810417
48,72,1.384106042661e-09,1.188392636128e-09,7045.1227630000,27.3248334115
47,72,1.338559181187e-09,1.187801360612e-09,6895.2265340000,27.3248334115
7,102,1.319643746619e-09,1.286155110237e-09,899.3773740000,144.4312623177
