run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.004056,0.363907,0.641944,1.005851,0.116760,0.236037,0.352797,0.314093,2.786426,10
2,1.011166,0.118018,0.490907,0.608925,0.146389,0.221407,0.367796,0.288574,2.407778,10
3,1.121574,0.169148,0.515944,0.685092,0.177852,0.207760,0.385612,0.281629,2.601333,10
4,0.788148,0.042203,0.478574,0.520777,0.147500,0.199185,0.346685,0.279722,2.056371,10
5,0.809593,0.039926,0.479926,0.519852,0.120537,0.223982,0.344519,0.285389,2.085111,10
