range_bin,doppler_bin,power,threshold,range_m,velocity_mps
65,117,3.297311107713e-09,2.952986647842e-09,9593.3586560000,202.9844767708
64,117,3.079539542113e-09,3.001026175412e-09,9443.4624270000,202.9844767708
48,73,2.406372382045e-09,1.273603553530e-09,7045.1227630000,31.2283810417
47,73,2.357642379515e-09,1.283395189638e-09,6895.2265340000,31.2283810417
49,73,2.063991322882e-09,1.290556646424e-09,7195.0189920000,31.2283810417
46,73,2.058989726969e-09,1.323392835718e-09,6745.3303050000,31.2283810417
45,73,1.610155702761e-09,1.351791721509e-09,6595.4340760000,31.2283810417
50,73,1.582808013503e-09,1.308994469238e-09,7344.9152210000,31.2283810417
47,72,1.370806374178e-09,1.280377595787e-09,6895.2265340000,27.3248334115
48,72,1.369363366929e-09,1.272060200698e-09,7045.1227630000,27.3248334115
