run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.680704,3.910593,1.978778,5.889371,0.915870,2.468907,3.384777,1.118352,12.215667,9
2,0.757519,0.038889,0.476092,0.514981,0.126982,0.236093,0.363075,0.299444,2.065796,9
3,0.727518,0.037723,0.478833,0.516556,0.321408,0.232222,0.553630,0.297371,2.224463,9
4,0.726704,0.036259,0.502611,0.538870,0.124333,0.206371,0.330704,0.282574,2.004019,9
5,0.816852,0.035852,0.486648,0.522500,0.154815,0.202648,0.357463,0.284204,2.107945,9
