run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.499537,0.382741,0.661278,1.044019,0.123277,0.234889,0.358166,0.306815,3.318851,12
2,0.919926,0.057796,0.492074,0.549870,0.292204,0.228426,0.520630,0.285981,2.413889,12
3,1.350741,0.043185,0.486500,0.529685,0.170481,0.202574,0.373055,0.286574,2.667407,12
4,0.735796,0.046259,0.491296,0.537555,0.178481,0.196630,0.375111,0.283240,2.056908,12
5,0.707704,0.043741,0.467037,0.510778,0.120704,0.217574,0.338278,0.281889,1.961907,12
