run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.783815,0.697815,0.831370,1.529185,0.154926,0.240000,0.394926,0.312667,4.148426,11
2,0.762093,0.048741,0.469574,0.518315,0.128259,0.226574,0.354833,0.297389,2.061111,11
3,0.703704,0.088814,0.477444,0.566258,0.160333,0.203129,0.363462,0.290537,2.048111,11
4,0.694667,0.044018,0.490018,0.534036,0.147334,0.200945,0.348279,0.279944,1.980481,11
5,1.325870,3.132889,1.758925,4.891814,0.875222,2.301185,3.176407,2.219407,11.755611,11
