run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.945093,3.350056,2.230277,5.580333,0.906426,2.574907,3.481333,2.607945,13.762037,9
2,0.834926,2.759593,1.940463,4.700056,0.792018,1.694500,2.486518,2.858907,11.015649,9
3,0.702481,0.506908,1.054630,1.561538,0.207555,0.210482,0.418037,0.288259,3.099296,9
4,0.847426,0.046148,0.480537,0.526685,0.159093,0.674796,0.833889,1.747907,4.081871,9
5,0.711667,0.042685,0.492926,0.535611,0.132111,1.015222,1.147333,0.370612,2.896574,9
