range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.287495178466e-09,1.163179797027e-09,6895.2265340000,31.2283810417
48,73,2.170371472992e-09,1.191479015460e-09,7045.1227630000,31.2283810417
46,73,2.122920146572e-09,1.149667071288e-09,6745.3303050000,31.2283810417
93,99,1.868892073433e-09,1.703176121102e-09,13790.4530680000,132.7206194271
49,73,1.856463534667e-09,1.218667757496e-09,7195.0189920000,31.2283810417
45,73,1.783699526405e-09,1.152748501362e-09,6595.4340760000,31.2283810417
50,73,1.462741202700e-09,1.208095194704e-09,7344.9152210000,31.2283810417
44,73,1.297994757626e-09,1.141911948423e-09,6445.5378470000,31.2283810417
47,72,1.263925122741e-09,1.172016825930e-09,6895.2265340000,27.3248334115
48,72,1.221160181872e-09,1.193907272591e-09,7045.1227630000,27.3248334115
26,78,3.852939276174e-10,3.705198187096e-10,3747.4057250000,50.7461191927
