range_bin,doppler_bin,power,threshold,range_m,velocity_mps
47,73,2.329195565053e-09,1.142982306914e-09,6895.2265340000,31.2283810417
48,73,2.244505781146e-09,1.169841099822e-09,7045.1227630000,31.2283810417
46,73,2.032526381198e-09,1.146483707976e-09,6745.3303050000,31.2283810417
49,73,1.896827622747e-09,1.220065436579e-09,7195.0189920000,31.2283810417
45,73,1.622068119978e-09,1.166371960234e-09,6595.4340760000,31.2283810417
50,73,1.435545927914e-09,1.243649106096e-09,7344.9152210000,31.2283810417
47,72,1.276412601346e-09,1.133637434225e-09,6895.2265340000,27.3248334115
48,72,1.220224954293e-09,1.160410227418e-09,7045.1227630000,27.3248334115
46,72,1.142720320749e-09,1.134513283472e-09,6745.3303050000,27.3248334115
