run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.372259,0.364351,0.637500,1.001851,0.269834,0.257019,0.526853,0.307371,3.343519,12
2,0.963648,0.052055,0.472167,0.524222,0.296482,0.242037,0.538519,0.289630,2.454704,12
3,1.431666,0.038389,0.472722,0.511111,0.159685,0.202630,0.362315,0.294314,2.728278,12
4,0.724352,0.038686,0.993074,1.031760,0.219981,0.204815,0.424796,0.279222,2.587963,12
5,0.966815,3.311796,2.082204,5.394000,0.850648,2.026352,2.877000,2.581277,11.954056,12
