range_bin,doppler_bin,power,threshold,range_m,velocity_mps
48,73,2.135040550067e-09,1.000025867526e-09,7045.1227630000,31.2283810417
47,73,2.109361462934e-09,9.807602711229e-10,6895.2265340000,31.2283810417
46,73,1.859412762913e-09,1.007776308869e-09,6745.3303050000,31.2283810417
49,73,1.786095871562e-09,1.048789788399e-09,7195.0189920000,31.2283810417
84,32,1.598301250675e-09,1.396546701315e-09,12441.3870070000,-128.8170717969
45,73,1.442319419566e-09,1.038854551267e-09,6595.4340760000,31.2283810417
50,73,1.336239328918e-09,1.096579264967e-09,7344.9152210000,31.2283810417
47,72,1.220572834515e-09,9.885751732730e-10,6895.2265340000,27.3248334115
48,72,1.208470981415e-09,1.010248965302e-09,7045.1227630000,27.3248334115
46,72,1.086112902768e-09,1.011413551463e-09,6745.3303050000,27.3248334115
