run,load_ms,pulse_ready_ms,pulse_apply_ms,pulse_total_ms,mti_ms,mtd_ms,doppler_total_ms,cfar_ms,total_ms,detections
1,1.131926,1.030889,0.675389,1.706278,0.113797,0.236352,0.350149,0.309611,3.629444,9
2,0.730982,0.043648,0.467593,0.511241,0.136555,0.277648,0.414203,0.314130,2.103074,9
3,0.700963,0.037278,0.484685,0.521963,0.144112,0.199945,0.344057,0.285722,1.975333,9
4,0.727537,0.040111,0.509389,0.549500,0.153482,0.200574,0.354056,0.289482,2.046482,9
5,0.743333,0.138112,0.487148,0.625260,0.127981,0.203666,0.331647,0.286852,2.113314,9
